,id,nom,date_ouverture,date_fermeture,website,email,adresse,horaires,presentation,responsables,historique,activites,expositions,publications,events,residences,workshop,archive,librairie,coworking,education,nb_expos_an,nb_artistes_an,partenaires,created_at,updated_at,slug,pays,ville,latitude,longitude,adresse_complete,codepostal,telephone,visite,user_id,lang,clean_presentation
6,6,Le Commissariat,2006,None,www.lecommissariat.fr/,lecommissariat@gmail.com,24 rue moret,None,"Le Commissariat est une structure de production d’expositions d’art contemporain fondée en 2006. Il est à l’initiative d’une cinquantaine d’expositions et d’événements en France et à l’étranger, présente les travaux d’artistes émergents et confirmés et collabore régulièrement avec des commissaires invités. Le Commissariat fait partie de TREIZE et partage son lieu d’exposition et ses bureaux avec Red Shoes, Gallien Déjean et Ali_fib gigs.",None,"<p style=""text-align: justify;"">Le Commissariat a &eacute;t&eacute; fond&eacute; en 2006 par Fay&ccedil;al Baghriche, Matthieu Clainchard, Doroth&eacute;e Dupuis et Vincent Ganivet. De 2008 &agrave; 2011, le commissaire d&rsquo;expositions ind&eacute;pendant, Damien Airault en a assur&eacute; la direction. En 2012, les artistes Mathis Collins, S&eacute;bastien R&eacute;my et Cyril Verde forment la nouvelle &eacute;quipe. Caroline Mesquita et Nicolas Muller en tant que membres actifs organisent chacun une exposition. Laura Lemarois participe &agrave; l&rsquo;organisation de l&rsquo;exposition Caravans&eacute;rail &eacute;nergie-plus-exposition dans le cadre de la biennale de Belleville. En 2013, Anne-Claire Duprat rejoint l&rsquo;&eacute;quipe du Commissariat</p>",None,False,False,False,False,False,False,False,False,False,None,None,"La DRAC Ile de France
Le Conseil Régional Île de France",2013-11-08 16:51:40 UTC,2014-02-06 10:25:59 UTC,le-commissariat,France,Paris,48.8674299,2.3793208999999997,"24 rue moret, 75011, Paris, France",75011.0,None,None,1.0,fr,"['Commissariat', 'structure', 'production', 'expositions', 'art', 'contemporain', 'fondée', '2006', 'initiative', 'expositions', 'événements', 'France', 'étranger', 'présente', 'travaux', 'artistes', 'émergents', 'confirmés', 'collabore', 'régulièrement', 'commissaires', 'invités', 'Commissariat', 'partie', 'partage', 'lieu', 'exposition', 'bureaux', 'Red', 'Shoes', 'Gallien', 'Déjean', 'Ali_fib', 'gigs']"
8,198,/ 77,2015,None,progetto77.tumblr.com,progettosettantasette@gmail.com,Via Plinio 43,On appointment," -English below- 
/ 77 est un collectif d'artistes composé de Julia Ratti, Alessandro Moroni, Colombo Nicole et Luke Loreti. Le but du collectif est de créer des partenariats et des projets qui impliquent des jeunes artistes, sans grande expérience de l' exposition. L'intérêt principal est de stimuler un débat collectif sur le travail et la recherche d'artistes individuels aussi et surtout à l'extérieur champ d'exposition. / 77 vise à être le meilleur environnement possible pour afficher, document, conception, rencontrer et discuter de leur travail.L'intérêt principal du collectif est l'expérimentation et la recherche. L'espace physique est un lieu où les travaux sont au pouvoir, un laboratoire où les idées sont en cours d'élaboration. Avec notre travail, nous créons un réseau entre les artistes, les œuvres et les institutions maintiennent toujours vivant le débat sur l'art contemporain et de l'actualité. Notre pratique est de comprendre et de répondre aux besoins des jeunes artistes en leur offrant la possibilité de développer des projets qui leur permettront d'approfondir leur recherche.
--
/77 is an artist-run studio open to collaborations and external projects involving young artists and art students whose work has not been exhibited yet. Our main focus is on creating a collective debate around the work and the research of each artist alongside, as well as beside, the context of the exhibition./77 is an artist-run studio open to collaborations and external projects involving young artists and art students whose work has not been exhibited yet. Our main focus is on creating a collective debate around the work and the research of each artist alongside, as well as beside, the context of the exhibition.We chose to work with young artists exclusively because we are interested inexperimentation and research in its embryonic stage. The frame of the studio as an art space in which the artwork is not fully concluded yet or a laboratory were ideas are still developing, perfectly represents our guideline. /77 proposes itself as a place for showing, documenting, designing and discussing your work while having the chance of talking about it with others.We aim at creating a network of young artists and artworks keeping alive the debate around contemporary art and current issues.
 ","Julia Ratti, Alessandro Moroni, Colombo Nicole et Luke Loreti",None,"<p>All of the activities that we will&nbsp; develop and organize will have&nbsp;no&nbsp;budget&nbsp;and no lucrative aims: this will not be a limit but it will&nbsp; turn to our advantage in the goal of creating an environment of unselfish sharing and collaboration.</p>
<p>Tell us who you are, introduce your project or just step by to have a look.</p>",True,False,True,True,True,False,False,True,False,None,None,None,2016-10-05 10:13:18 UTC,2016-10-05 10:13:18 UTC,77,Italy,Milano,45.476397999999996,9.217894699999999,"Via Plinio 43, , Milano, Italy",None,None,None,1.0,fr,"['\xa0', '-English', 'below-', '\n', '77', 'collectif', 'artistes', 'composé', 'Julia', 'Ratti', 'Alessandro', 'Moroni', 'Colombo', 'Nicole', 'Luke', 'Loreti', '\xa0', 'but', 'collectif', 'créer', '\xa0', 'partenariats', '\xa0', 'projets', 'impliquent', '\xa0', 'jeunes', 'artistes', 'grande', 'expérience', 'l', '\xa0', 'exposition', '\xa0', 'intérêt', 'principal', 'stimuler', 'débat', 'collectif', 'travail', '\xa0', 'recherche', 'artistes', 'individuels', 'extérieur', 'champ', 'exposition', '\xa0', '77', 'vise', 'meilleur', 'environnement', 'afficher', 'document', 'conception', 'rencontrer', 'discuter', '\xa0', 'travail', 'intérêt', 'principal', 'collectif', 'expérimentation', 'recherche', '\xa0', 'espace', 'physique', 'lieu', 'travaux', 'pouvoir', 'laboratoire', 'idées', 'cours', 'élaboration', '\xa0', 'travail', 'créons', 'réseau', 'artistes', 'œuvres', 'institutions', 'maintiennent', 'vivant', 'débat', 'art', 'contemporain', 'actualité', '\xa0', 'pratique', 'comprendre', 'répondre', 'besoins', 'jeunes', 'artistes', 'offrant', 'possibilité', 'développer', 'projets', 'permettront', 'approfondir', 'recherche', '\n', '\n', '/77', 'is', 'an', 'artist', 'run', 'studio', 'open', 'to', 'collaborations', 'and', 'external', 'projects', 'involving', 'young', 'artists', 'and', 'art', 'students', 'whose', 'work', 'has', 'not', 'been', 'exhibited', 'yet', 'Our', 'main', 'focus', 'is', 'creating', 'collective', '\xa0', 'debate', '\xa0', 'around', 'the', 'work', 'and', 'the', 'research', 'of', 'each', 'artist', 'alongside', 'well', 'beside', 'the', 'context', 'of', 'the', 'exhibition./77', 'is', 'an', 'artist', 'run', 'studio', 'open', 'to', 'collaborations', 'and', 'external', 'projects', 'involving', 'young', 'artists', 'and', 'art', 'students', 'whose', 'work', 'has', 'not', 'been', 'exhibited', 'yet', 'Our', 'main', 'focus', 'is', 'creating', 'collective', '\xa0', 'debate', '\xa0', 'around', 'the', 'work', 'and', 'the', 'research', 'of', 'each', 'artist', 'alongside', 'well', 'beside', 'the', 'context', 'of', 'the', 'exhibition', 'We', 'chose', 'to', 'work', 'with', 'young', 'artists', 'exclusively', 'because', 'we', 'are', 'interested', 'inexperimentation', '\xa0', 'and', '\xa0', 'research', '\xa0', 'in', 'its', 'embryonic', 'stage', 'The', 'frame', 'of', 'the', 'studio', 'an', 'art', 'space', 'in', 'which', '\xa0', 'the', 'artwork', 'is', 'not', 'fully', 'concluded', 'yet', '\xa0', 'or', 'laboratory', 'were', 'ideas', 'are', 'still', 'developing', 'perfectly', 'represents', 'our', 'guideline', '/77', 'proposes', 'itself', 'place', 'for', 'showing', 'documenting', 'designing', 'and', 'discussing', 'your', 'work', 'while', 'having', 'the', 'chance', 'of', 'talking', 'about', 'it', 'with', 'others', 'We', 'aim', 'at', 'creating', 'network', 'of', 'young', 'artists', 'and', 'artworks', 'keeping', 'alive', 'the', 'debate', 'around', 'contemporary', 'art', 'and', 'current', 'issues', '\n\xa0']"
22,4,0gms,2008,None,www.0gms.com,contact@0gms.com,"12 Lyuben Karavelov Street, # 11",None,"0gms is an Artist-Run-Space based in Sofia, Bulgaria. The goal is to share experience and to develop a platform for art with Bulgarian and international artists.",None,"<p style=""text-align: justify;""><em>The first presentation of the project was done with a video presented in Salzburg at Salzburger Kunstverein and in Vienna during the Vienna Art Week in October 2009. In this video 0gms ridicules the importance of art market. Then 0gms started to develop exhibitions in a drawer (ICA Sofia, Cabaret Voltaire Zurich, Galerie Skuj Lubjana...).</em></p>
<p style=""text-align: justify;""><em>They participated also in Varna Biennale, organized an exhibition at WhiteSpace in Bangkok, participated twice to Vienna Art Fair (2011 -2012), Contemporary Istambul (2012), Scope Miami (2012) and organize since 2011 many exhibitions in their space in Sofia, Bulgaria.</em></p>","<p style=""text-align: justify;""><em>&nbsp;</em></p>",False,False,False,False,False,False,False,False,False,None,None,None,2013-11-08 16:51:40 UTC,2014-05-30 13:46:41 UTC,0gms,Bulgarie,Sofia,42.6867309,23.3273678,"12 Lyuben Karavelov Street, # 11, 1142, Sofia, Bulgarie",1142.0,None,None,1.0,en,"['0gms', 'Artist', 'Run', 'Space', 'based', 'Sofia', 'Bulgaria', 'goal', 'share', 'experience', 'develop', 'platform', 'art', 'Bulgarian', 'international', 'artists']"
23,87,Lieu d'exposition en voie de déplacement (LEVD),2014,None,levd.net,levd.projet@gmail.com,24 rue René Leynaud,None,"Lieu d’exposition en voie de déplacement (LEVD) investit un nouveau lieu, espace d’exposition temporaire, pour chaque cycle d’expositions. L’association s’installe à Lyon pour son premier projet et a pour ambition de mettre en lumière la scène artistique émergente en réunissant des artistes venant des quatre coins de la France. ","Mahé de Rosière
Dimitri Kiosseff","<p>Du 17 avril au 25 mai 2014<br />Cycle 1&nbsp;<span class=""font5"">: de 15h &agrave; 19h et sur rendez-vous<br /></span><span class=""font6"">Fond d'&eacute;cran #1</span><span class=""font5"">&nbsp;: de la tomb&eacute;e du jour &agrave; minuit.</span></p>","<p class=""p1"">N&eacute; en 2014 de l&rsquo;initiative de deux artistes plasticiens, Mah&eacute; de Rosi&egrave;re et Dimitri Kiosseff, Lieu d&rsquo;exposition en voie de d&eacute;placement (LEVD) est une structure associative&nbsp; envisag&eacute;e comme un moyen de concevoir des cadres de production et de diffusion d&rsquo;art contemporain ind&eacute;pendamment des institutions culturelles, galeries ou syst&egrave;mes de r&eacute;sidence.&nbsp;<br />&laquo; Par des artistes, pour des artistes &raquo; pourrait en &ecirc;tre le mot d&rsquo;ordre.&nbsp;<br /><br />Lieu d&rsquo;exposition en voie de d&eacute;placement met en place une d&eacute;marche simple : trouver des locaux, espaces d&rsquo;expositions, pour y r&eacute;aliser une s&eacute;rie d&rsquo;&eacute;v&egrave;nements courts, durant lesquels sont invit&eacute;s des plasticiens. Afin d&rsquo;enrichir chaque projet men&eacute; et ne pas tomber dans un entre soi, sont associ&eacute;s &eacute;galement des acteurs du monde de l&rsquo;art (th&eacute;oriciens, &eacute;crivains, curateurs) et des praticiens issus d&rsquo;autres disciplines artistiques (danse, musique, th&eacute;&acirc;tre&hellip;). Une fois le temps d&rsquo;occupation arriv&eacute; &agrave; terme, LEVD quitte les lieux et repart &agrave; la recherche de nouveaux espaces pour de futurs projets.&nbsp;<br /><br />La volont&eacute; motrice de LEVD est de cr&eacute;er une dynamique culturelle, un r&eacute;seau, au fil des rencontres, des d&eacute;placements, des coups de coeur &agrave; travers les villes et les disciplines.</p>",False,False,False,False,False,False,False,False,False,4/an,4/an,None,2014-05-30 13:59:02 UTC,2014-05-30 14:06:33 UTC,lieu-d-exposition-en-voie-de-deplacement-levd,France,Lyon,45.769858500000005,4.8342757,"24 rue René Leynaud, 69001, Lyon, France",69001.0,None,None,1.0,fr,"['Lieu', 'exposition', 'voie', 'déplacement', 'LEVD', 'investit', 'lieu', 'espace', 'exposition', 'temporaire', 'cycle', 'expositions', '\xa0', 'association', 'installe', 'Lyon', 'projet', 'ambition', 'mettre', 'lumière', 'scène', 'artistique', 'émergente', 'réunissant', 'artistes', 'venant', 'coins', 'France', '\xa0']"
24,88,mezcla,2012,None,www.espacemezcla.net,infos@espacemezcla.net,9 rue Alsace Lorraine,mardi au samedi de 14H au 18H," 
Association au service de la promotion et de la mediation de l'art contemporain. Lieu ouvert, propice aux échanges et aux métamorphoses. Le fil conducteur étant la liberté des pratiques et des expressions. Des expositions collectives et individuelles, se succédent, en collaboration avec d'autres associations et galeries.","Karem Arrieta, Anais Quintero",None,None,True,True,True,False,False,False,False,False,True,4 à 6/an,None,None,2014-05-30 14:12:43 UTC,2014-05-30 14:12:43 UTC,mezcla,France,Rouen,49.4385445,1.0992548,"9 rue Alsace Lorraine, 76000, ROUEN, FRANCE",76000.0,None,None,1.0,fr,"['\xa0\n', 'Association', 'service', 'promotion', 'mediation', 'art', 'contemporain', 'Lieu', 'propice', 'échanges', 'métamorphoses', 'fil', 'conducteur', 'liberté', 'pratiques', 'expressions', 'expositions', 'collectives', 'individuelles', 'succédent', 'collaboration', 'associations', 'galeries']"
25,90,BLINDSIDE,2001,None,http://www.blindside.org.au/,info@blindside.org.au,"Level 7, Room 14, Nicholas Building, 37 Swanston Street","Tuesday to Saturday, 12-6pm (during exhibition program) Closed on public holidays","BLINDSIDE is an independent contemporary arts space located in the heart of Melbourne established in 2004. We are committed to supporting and promoting contemporary art practice across a broad range of media through an ever-changing program of exhibitions, screenings, events and workshops. BLINDSIDE supports a thriving arts community in Melbourne and beyond—encouraging artistic experimentation, innovation and facilitating critical dialogue.",None,None,None,True,False,False,False,False,False,False,False,False,None,None,None,2015-05-07 20:43:01 UTC,2015-05-07 20:43:01 UTC,blindside,Australia,Melbourne,-37.816667200000005,144.966994,"Level 7, Room 14, Nicholas Building, 37 Swanston Street, 3000, Melbourne, Australia",3000.0,None,None,1.0,en,"['BLINDSIDE', 'independent', 'contemporary', 'arts', 'space', 'located', 'heart', 'Melbourne', 'established', '2004', 'committed', 'supporting', 'promoting', 'contemporary', 'art', 'practice', 'broad', 'range', 'media', 'changing', 'program', 'exhibitions', 'screenings', 'events', 'workshops', 'BLINDSIDE', 'supports', 'thriving', 'arts', 'community', 'Melbourne', 'encouraging', 'artistic', 'experimentation', 'innovation', 'facilitating', 'critical', 'dialogue']"
31,39,H+,2011,None,h-pl.us/,info@h-pl.us, 24 montée Saint Sébastien,None,"La Galerie H+ est une galerie lyonnaise, créée le 11/11/11, spécialisée dans l’art digital. Elle présente des créations utilisant la technologie comme nouveau media, dans les domaines de l’art, du design, et de l’évènementiel.",Olivier Nerot,None,None,False,False,False,False,False,False,False,False,False,None,None,None,2013-11-08 17:58:21 UTC,2014-02-06 10:20:04 UTC,h,France,Lyon,45.770908399999996,4.8357956," 24 montée Saint Sébastien, 69001, Lyon, France",69001.0,None,None,1.0,fr,"['Galerie', 'H+', 'galerie', 'lyonnaise', 'créée', '11/11/11', 'spécialisée', 'art', 'digital', 'présente', 'créations', 'utilisant', 'technologie', 'media', 'domaines', 'art', 'design', 'évènementiel']"
33,169,L’Assaut de la menuiserie,1995,None,www.lassautdelamenuiserie.com,contact@lassautdelamenuiserie.com,"11, rue Bourgneuf","Du mardi au vendredi
de 15 à 19 heures
samedi de 14 à 18 heures
et sur rendez-vous
fermeture les jours fériés,
en juillet/aout et décembre/janvier","Dédiée à la jeune création contemporaine sous toutes ses formes, l’Assaut de la Menuiserie est une association loi 1901 fondée en 1995. Elle se consacre à la présentation et à l’accompagnement d’artistes régionaux, nationaux ou internationaux par la réalisation de projets spécifiques et inédits. Chaque année, cinq à six expositions (thématiques, collectives ou personnelles) sont programmées in ou ex situ. Dans ce cadre l’Assaut de la Menuiserie met à disposition un espace de travail et un espace d’exposition favorisant la conception d’un projet de recherche autonome.
Le lieuInstallée dans les murs d’une ancienne menuiserie au cœur de Saint-Étienne, l’Assaut est un espace mouvant composé de trois zones distinctes : l’espace d’exposition (150 m²), la cour intérieure et l’atelier.","Vincent Gobber, Gaël Moissonnier, Jean-Sébastien Poncet",None,None,True,False,True,False,False,False,False,False,False,5 à 6 par an,None,None,2016-04-01 20:56:17 UTC,2016-04-01 20:56:17 UTC,l-assaut-de-la-menuiserie,France,Saint Étienne,45.4454167,4.3836642999999995,"11, rue Bourgneuf, 42000, Saint-Étienne, FRANCE",42000.0,None,None,1.0,fr,"['Dédiée', 'jeune', 'création', 'contemporaine', 'formes', 'Assaut', 'Menuiserie', 'association', 'loi', '1901', 'fondée', '1995', 'consacre', 'présentation', 'accompagnement', 'artistes', 'régionaux', 'nationaux', 'internationaux', 'réalisation', 'projets', 'spécifiques', 'inédits', 'année', 'expositions', 'thématiques', 'collectives', 'personnelles', 'programmées', 'in', 'ex', 'situ', 'cadre', 'Assaut', 'Menuiserie', 'met', 'disposition', 'espace', 'travail', 'espace', 'exposition', 'favorisant', 'conception', 'projet', 'recherche', 'autonome', '\n', 'lieuInstallée', 'murs', 'ancienne', 'menuiserie', 'cœur', 'Saint', 'Étienne', 'Assaut', 'espace', 'mouvant', 'composé', 'zones', 'distinctes', 'espace', 'exposition', '150', '\xa0', 'm²', 'cour', 'intérieure', 'atelier']"
34,91,KINGS Artist Run,2003,None,www.kingsartistrun.com.au,info@kingsartistrun.com.au,Lvl 1 / 171 King St.,"Wed – Sat, 12-6pm","
Kings Artist Run is a non-for-profit gallery in Melbourne’s CBD


Kings Artist Run provides a location for contemporary art practice, supporting distinctive experimental projects by artists at all stages of their careers. Kings ARI assists and promotes the development of solo exhibitions, group and thematic projects, along with a program of events that includes performance, film screenings, public gatherings and talks.

Functioning as a collective of artists, writers, curators and academics, Kings Artist Run was formed to explore, interpret and participate in the mediation of new social and cultural meanings. In 2013 Kings Artist Run celebrated its 10th anniversary.

",None,None,"<p style=""margin: 0px 0px 1.5em; padding: 0px; outline: 0px; border: 0px; vertical-align: baseline; font-size: 12px; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; color: #222222; line-height: 19.2000007629395px;""><span style=""margin: 0px; padding: 0px; outline: 0px; border: 0px; vertical-align: baseline; font-weight: inherit; font-style: inherit; font-family: inherit;""><em style=""margin: 0px; padding: 0px; outline: 0px; border: 0px; vertical-align: baseline; font-weight: inherit; font-size: small; font-family: inherit;"">Kings Artist Run&nbsp;</em><span style=""margin: 0px; padding: 0px; outline: 0px; border: 0px; vertical-align: baseline; font-weight: inherit; font-style: inherit; font-size: small; font-family: inherit;"">currently supports a range of projects across three exhibition spaces in which&nbsp;artists, collectives and curators&nbsp;are provided with a supportive platform within which to form new work.&nbsp;</span><em style=""margin: 0px; padding: 0px; outline: 0px; border: 0px; vertical-align: baseline; font-weight: inherit; font-size: small; font-family: inherit;"">Kings Artist Run&nbsp;</em><span style=""margin: 0px; padding: 0px; outline: 0px; border: 0px; vertical-align: baseline; font-weight: inherit; font-style: inherit; font-size: small; font-family: inherit;"">also fosters and incorporates&nbsp;</span><a style=""margin: 0px; padding: 0px; outline: 0px; border: 0px; vertical-align: baseline; font-weight: inherit; font-style: inherit; font-size: small; font-family: inherit; color: #339966;"" href=""http://dudspace.com/"" target=""_blank"">DUDSPACE</a><span style=""margin: 0px; padding: 0px; outline: 0px; border: 0px; vertical-align: baseline; font-weight: inherit; font-style: inherit; font-size: small; font-family: inherit;"">,&nbsp;an additional independent space within the gallery, distinctively offering an opportunity for artists, collectives and curators to expand their practice within unconventional situations, circumstances and locations.&nbsp;</span><em style=""margin: 0px; padding: 0px; outline: 0px; border: 0px; vertical-align: baseline; font-weight: inherit; font-family: inherit;""><span style=""margin: 0px; padding: 0px; outline: 0px; border: 0px; vertical-align: baseline; font-weight: inherit; font-style: inherit; font-size: small; font-family: inherit;"">Kings&nbsp;<span style=""margin: 0px; padding: 0px; outline: 0px; border: 0px; vertical-align: baseline; font-weight: inherit; font-style: inherit; font-size: 13px; font-family: inherit; line-height: 20.7999992370605px;"">Artist</span>&nbsp;Run&nbsp;</span></em><span style=""margin: 0px; padding: 0px; outline: 0px; border: 0px; vertical-align: baseline; font-weight: inherit; font-style: inherit; font-size: small; font-family: inherit;"">also presents a program of singular &lsquo;one off&rsquo; events and actions through its&nbsp;</span><em style=""margin: 0px; padding: 0px; outline: 0px; border: 0px; vertical-align: baseline; font-weight: inherit; font-size: small; font-family: inherit;"">Flash Night Program</em><span style=""margin: 0px; padding: 0px; outline: 0px; border: 0px; vertical-align: baseline; font-weight: inherit; font-style: inherit; font-size: small; font-family: inherit;"">, as well as managing and supporting studio artists and writers through the provision of workspaces within the&nbsp;</span><em style=""margin: 0px; padding: 0px; outline: 0px; border: 0px; vertical-align: baseline; font-weight: inherit; font-size: small; font-family: inherit;"">Kings Artist Run&nbsp;</em><span style=""margin: 0px; padding: 0px; outline: 0px; border: 0px; vertical-align: baseline; font-weight: inherit; font-style: inherit; font-size: small; font-family: inherit;"">community.</span></span></p>
<p style=""margin: 0px 0px 1.5em; padding: 0px; outline: 0px; border: 0px; vertical-align: baseline; font-size: 12px; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; color: #222222; line-height: 19.2000007629395px;""><span style=""margin: 0px; padding: 0px; outline: 0px; border: 0px; vertical-align: baseline; font-weight: inherit; font-style: inherit; font-size: small; font-family: inherit;"">The annual exhibition program at&nbsp;<em style=""margin: 0px; padding: 0px; outline: 0px; border: 0px; vertical-align: baseline; font-weight: inherit; font-size: 13px; font-family: inherit;"">Kings Artist Run&nbsp;</em>is formed around individual exhibition projects interspersed with thematic curatorial projects. Therefore each half-year of the exhibition and event program involves a thematic grouping of focused projects evoking and forming a discourse around specific subjects, supported by allied events and talks. Notably,&nbsp;<em style=""margin: 0px; padding: 0px; outline: 0px; border: 0px; vertical-align: baseline; font-weight: inherit; font-size: 13px; font-family: inherit;"">Kings Artist Run&nbsp;</em>equally supports artists wishing to undertake single or individual projects unrelated to our programming themes, locating these individual exhibition projects within a gallery culture involving focused curatorial undertakings&nbsp;that form a platform for initiating new ideas as a way of developing critical social relations.</span></p>",True,False,False,False,False,False,False,False,False,None,None,None,2015-05-07 20:50:38 UTC,2015-05-07 20:50:38 UTC,kings-artist-run,Australia,Melbourne,-37.816140000000004,144.955285,"Lvl 1 / 171 King St., 3000, Melbourne, Australia",3000.0,None,None,1.0,en,"['\n', 'Kings', 'Artist', 'Run', 'non', 'profit', 'gallery', 'Melbourne', 'CBD', '\n\n\n', 'Kings', 'Artist', 'Run', '\xa0', 'provides', 'location', 'contemporary', 'art', 'practice', 'supporting', 'distinctive', 'experimental', '\xa0', 'projects', 'artists', 'stages', 'careers', '\xa0', 'Kings', 'ARI', '\xa0', 'assists', 'promotes', 'development', 'solo', 'exhibitions', 'group', 'thematic', 'projects', 'program', 'events', 'includes', 'performance', 'film', 'screenings', 'public', 'gatherings', 'talks', '\n\n', 'Functioning', 'collective', 'artists', 'writers', 'curators', 'academics', '\xa0', 'Kings', 'Artist', 'Run', '\xa0', 'formed', 'explore', 'interpret', 'participate', 'mediation', 'new', 'social', 'cultural', 'meanings', '2013', '\xa0', 'Kings', 'Artist', 'Run', '\xa0', 'celebrated', '10th', '\xa0', 'anniversary', '\n\n']"
35,170,Quellkollektiv,2013,None,quellkollektiv.net,info@quellkollektiv.net,Wandererstr. 80,None,"L'association Quellkollektiv émerge de l'association de plusieurs résidents dans un bâtiment liant collectivement les opérateurs culturels à travers la région métropolitaine de Nuremberg. 
L'association exploite la galerie ""Heute:_"" et soutient le « Nous achetons la source"". 
Nos membres sont créatifs et performants artistes, designers, artisans, architectes, musiciens, activistes, auteurs, organisateurs, éditeurs et autres qui créent la culture professionnellement ou dans leur temps libre. ","Peter Kunz, Wanda Leuthe, Tobias Witt",None,None,True,False,True,False,False,False,False,True,False,None,None,None,2016-09-09 12:56:57 UTC,2016-09-09 12:56:57 UTC,quellkollektiv,Allemagne,Nürnberg,49.456382500000004,11.030683,"Wandererstr. 80, 90431, Nürnberg, Allemagne",90431.0,None,None,1.0,fr,"['association', '\xa0', 'Quellkollektiv', '\xa0', 'émerge', 'association', '\xa0', 'résidents', 'bâtiment', 'liant', '\xa0', 'collectivement', '\xa0', 'opérateurs', 'culturels', '\xa0', 'travers', 'région', 'métropolitaine', '\xa0', 'Nuremberg', '\xa0\n', 'association', 'exploite', 'galerie', 'Heute', 'soutient', 'achetons', 'source', '\xa0\n', 'membres', 'créatifs', 'performants', 'artistes', 'designers', 'artisans', 'architectes', 'musiciens', 'activistes', 'auteurs', 'organisateurs', 'éditeurs', 'créent', '\xa0', 'culture', 'professionnellement', 'temps', 'libre', '\xa0']"
