,id,nom,presentation,presentation_en,clean_presentation_trad
0,6,Le Commissariat,"Le Commissariat est une structure de production d’expositions d’art contemporain fondée en 2006. Il est à l’initiative d’une cinquantaine d’expositions et d’événements en France et à l’étranger, présente les travaux d’artistes émergents et confirmés et collabore régulièrement avec des commissaires invités. Le Commissariat fait partie de TREIZE et partage son lieu d’exposition et ses bureaux avec Red Shoes, Gallien Déjean et Ali_fib gigs.","The Office is a structure of production of contemporary art exhibitions founded in 2006. It is on the initiative of fifty exhibitions and events in France and abroad, presents the work of emerging artists and confirmed and regularly collaborates with guest curators. The Office is part of THIRTEEN and shares its venue and offices with Red Shoes, Gallien Dejean and Ali_fib gigs.","['Office', 'structure', 'production', 'contemporary', 'art', 'exhibitions', 'founded', 'initiative', 'exhibitions', 'events', 'France', 'abroad', 'presents', 'work', 'emerging', 'artists', 'confirmed', 'regularly', 'collaborates', 'guest', 'curators', 'Office', 'THIRTEEN', 'shares', 'venue', 'offices', 'Red', 'Shoes', 'Gallien', 'Dejean', 'gigs']"
1,198,/ 77," -English below- 
/ 77 est un collectif d'artistes composé de Julia Ratti, Alessandro Moroni, Colombo Nicole et Luke Loreti. Le but du collectif est de créer des partenariats et des projets qui impliquent des jeunes artistes, sans grande expérience de l' exposition. L'intérêt principal est de stimuler un débat collectif sur le travail et la recherche d'artistes individuels aussi et surtout à l'extérieur champ d'exposition. / 77 vise à être le meilleur environnement possible pour afficher, document, conception, rencontrer et discuter de leur travail.L'intérêt principal du collectif est l'expérimentation et la recherche. L'espace physique est un lieu où les travaux sont au pouvoir, un laboratoire où les idées sont en cours d'élaboration. Avec notre travail, nous créons un réseau entre les artistes, les œuvres et les institutions maintiennent toujours vivant le débat sur l'art contemporain et de l'actualité. Notre pratique est de comprendre et de répondre aux besoins des jeunes artistes en leur offrant la possibilité de développer des projets qui leur permettront d'approfondir leur recherche.
--
/77 is an artist-run studio open to collaborations and external projects involving young artists and art students whose work has not been exhibited yet. Our main focus is on creating a collective debate around the work and the research of each artist alongside, as well as beside, the context of the exhibition./77 is an artist-run studio open to collaborations and external projects involving young artists and art students whose work has not been exhibited yet. Our main focus is on creating a collective debate around the work and the research of each artist alongside, as well as beside, the context of the exhibition.We chose to work with young artists exclusively because we are interested inexperimentation and research in its embryonic stage. The frame of the studio as an art space in which the artwork is not fully concluded yet or a laboratory were ideas are still developing, perfectly represents our guideline. /77 proposes itself as a place for showing, documenting, designing and discussing your work while having the chance of talking about it with others.We aim at creating a network of young artists and artworks keeping alive the debate around contemporary art and current issues.
 ","-English below-
/ 77 is a collective of artists composed of Julia Ratti Alessandro Moroni, Colombo Nicole and Luke Loreti. The purpose of the group is to create partnerships and projects that involve young artists, with little experience of the exhibition. The main interest is to stimulate a collective debate on the work and research of individual artists also and especially outside exposure field. / 77 aims to be the best environment to display, document, design, meet and discuss their main travail.L'intérêt collective is experimentation and research. Physical space is a place where the work is in power, a laboratory where ideas are being developed. With our work, we create a network between artists, works and institutions always keep alive the debate on contemporary art and current events. Our practice is to understand and meet the needs of young artists by offering them the opportunity to develop projects that will enable them to further their research.
-
/ 77 is an artist-run studio open to external collaborations and projects Involving young artists and art students work Whose Has not yet beens EXHIBITED. Our main focus is one Creating a collective debate around the work and the research of Each artist Alongside, as well as beside, the context of the exhibition./77 is an artist-run studio open to external collaborations and projects Involving young artists and art Whose work students Has not yet beens EXHIBITED. Our main focus is one Creating a collective debate around the work and the research of Each artist Alongside, as well as beside, the context of the exhibition.We thing to work with young artists Exclusively Because We Are interested inexperimentation and research in embryonic icts internship . The frame of the studio as an art space in the qui artwork is not yet fully Concluded or a laboratory Were Developing ideas are still, perfectly Represents our guideline. / 77 proposed Itself as a place for showing, Documenting, designing and discussing your work while HAVING the opportunity of talking about it with others.We aim at Creating a network of young artists and artworks keeping alive the debate around contemporary art and current issues.
","['below-', 'collective', 'artists', 'composed', 'Julia', 'Ratti', 'Alessandro', 'Moroni', 'Colombo', 'Nicole', 'Luke', 'Loreti', 'purpose', 'group', 'create', 'partnerships', 'projects', 'involve', 'young', 'artists', 'little', 'experience', 'exhibition', 'main', 'interest', 'stimulate', 'collective', 'debate', 'work', 'research', 'individual', 'artists', 'especially', 'outside', 'exposure', 'field', 'aims', 'best', 'environment', 'display', 'document', 'design', 'meet', 'discuss', 'main', 'travail', 'collective', 'experimentation', 'research', 'Physical', 'space', 'place', 'work', 'power', 'laboratory', 'ideas', 'developed', 'work', 'create', 'network', 'artists', 'works', 'institutions', 'alive', 'debate', 'contemporary', 'art', 'current', 'events', 'practice', 'understand', 'meet', 'needs', 'young', 'artists', 'offering', 'opportunity', 'develop', 'projects', 'enable', 'research', '77', 'artist', 'run', 'studio', 'open', 'external', 'collaborations', 'projects', 'Involving', 'young', 'artists', 'art', 'students', 'work', 'beens', 'EXHIBITED', 'main', 'focus', 'Creating', 'collective', 'debate', 'work', 'research', 'artist', 'Alongside', 'context', 'artist', 'run', 'studio', 'open', 'external', 'collaborations', 'projects', 'Involving', 'young', 'artists', 'art', 'work', 'students', 'beens', 'EXHIBITED', 'main', 'focus', 'Creating', 'collective', 'debate', 'work', 'research', 'artist', 'Alongside', 'context', 'exhibition', 'thing', 'work', 'young', 'artists', 'Exclusively', 'interested', 'inexperimentation', 'research', 'embryonic', 'icts', 'internship', 'frame', 'studio', 'art', 'space', 'qui', 'artwork', 'fully', 'Concluded', 'laboratory', 'Developing', 'ideas', 'perfectly', 'Represents', 'guideline', 'proposed', 'place', 'showing', 'Documenting', 'designing', 'discussing', 'work', 'HAVING', 'opportunity', 'talking', 'aim', 'Creating', 'network', 'young', 'artists', 'artworks', 'keeping', 'alive', 'debate', 'contemporary', 'art', 'current', 'issues']"
2,4,0gms,"0gms is an Artist-Run-Space based in Sofia, Bulgaria. The goal is to share experience and to develop a platform for art with Bulgarian and international artists.",,"['gms', 'Artist', 'Run', 'Space', 'based', 'Sofia', 'Bulgaria', 'goal', 'share', 'experience', 'develop', 'platform', 'art', 'Bulgarian', 'international', 'artists']"
3,87,Lieu d'exposition en voie de déplacement (LEVD),"Lieu d’exposition en voie de déplacement (LEVD) investit un nouveau lieu, espace d’exposition temporaire, pour chaque cycle d’expositions. L’association s’installe à Lyon pour son premier projet et a pour ambition de mettre en lumière la scène artistique émergente en réunissant des artistes venant des quatre coins de la France. ","Instead of moving lane exposure (ESA) invests a new place, a temporary exhibition space for each cycle of exhibitions. The association moved to Lyon for his first project aims to highlight the emerging art scene by bringing together artists from all corners of France.","['Instead', 'moving', 'lane', 'exposure', 'ESA', 'invests', 'new', 'place', 'temporary', 'exhibition', 'space', 'cycle', 'exhibitions', 'association', 'moved', 'Lyon', 'project', 'aims', 'highlight', 'emerging', 'art', 'scene', 'bringing', 'artists', 'corners', 'France']"
4,88,mezcla," 
Association au service de la promotion et de la mediation de l'art contemporain. Lieu ouvert, propice aux échanges et aux métamorphoses. Le fil conducteur étant la liberté des pratiques et des expressions. Des expositions collectives et individuelles, se succédent, en collaboration avec d'autres associations et galeries.","
Association to promote service and mediation of contemporary art. Place open, conducive to exchanges and metamorphoses. The common thread is the freedom of practices and expressions. Individual and collective exhibitions, follow one another, in collaboration with other associations and galleries.","['Association', 'promote', 'service', 'mediation', 'contemporary', 'art', 'Place', 'open', 'conducive', 'exchanges', 'metamorphoses', 'common', 'thread', 'freedom', 'practices', 'expressions', 'Individual', 'collective', 'exhibitions', 'follow', 'collaboration', 'associations', 'galleries']"
5,90,BLINDSIDE,"BLINDSIDE is an independent contemporary arts space located in the heart of Melbourne established in 2004. We are committed to supporting and promoting contemporary art practice across a broad range of media through an ever-changing program of exhibitions, screenings, events and workshops. BLINDSIDE supports a thriving arts community in Melbourne and beyond—encouraging artistic experimentation, innovation and facilitating critical dialogue.",,"['BLINDSIDE', 'independent', 'contemporary', 'arts', 'space', 'located', 'heart', 'Melbourne', 'established', 'committed', 'supporting', 'promoting', 'contemporary', 'art', 'practice', 'broad', 'range', 'media', 'changing', 'program', 'exhibitions', 'screenings', 'events', 'workshops', 'BLINDSIDE', 'supports', 'thriving', 'arts', 'community', 'Melbourne', 'encouraging', 'artistic', 'experimentation', 'innovation', 'facilitating', 'critical', 'dialogue']"
6,39,H+,"La Galerie H+ est une galerie lyonnaise, créée le 11/11/11, spécialisée dans l’art digital. Elle présente des créations utilisant la technologie comme nouveau media, dans les domaines de l’art, du design, et de l’évènementiel.","The H + Gallery is a gallery Lyon, created on 11/11/11, specializing in digital art. It presents creations using technology as new media in the areas of art, design, and event.","['Gallery', 'gallery', 'Lyon', 'created', 'specializing', 'digital', 'art', 'presents', 'creations', 'technology', 'new', 'media', 'areas', 'art', 'design', 'event']"
7,169,L’Assaut de la menuiserie,"Dédiée à la jeune création contemporaine sous toutes ses formes, l’Assaut de la Menuiserie est une association loi 1901 fondée en 1995. Elle se consacre à la présentation et à l’accompagnement d’artistes régionaux, nationaux ou internationaux par la réalisation de projets spécifiques et inédits. Chaque année, cinq à six expositions (thématiques, collectives ou personnelles) sont programmées in ou ex situ. Dans ce cadre l’Assaut de la Menuiserie met à disposition un espace de travail et un espace d’exposition favorisant la conception d’un projet de recherche autonome.
Le lieuInstallée dans les murs d’une ancienne menuiserie au cœur de Saint-Étienne, l’Assaut est un espace mouvant composé de trois zones distinctes : l’espace d’exposition (150 m²), la cour intérieure et l’atelier.","Dedicated to young contemporary creation in all its forms, Onslaught of carpentry is an association law 1901 founded in 1995. It is dedicated to the presentation and support of regional artists, national or international in implementing projects specific and unpublished. Every year, five to six exhibitions (thematic, collective or personal) are programmed in or ex situ. In this context Onslaught of carpentry provides a work area and an exhibition area for the conception of an autonomous research project.
The lieuInstallée in the walls of an old carpentry in the heart of Saint-Etienne, the Assault is a moving space of three distinct areas: the exhibition space (150 sqm), courtyard and workshop.","['Dedicated', 'young', 'contemporary', 'creation', 'forms', 'Onslaught', 'carpentry', 'association', 'law', 'founded', 'dedicated', 'presentation', 'support', 'regional', 'artists', 'national', 'international', 'implementing', 'projects', 'specific', 'unpublished', 'year', 'exhibitions', 'thematic', 'collective', 'personal', 'programmed', 'situ', 'context', 'Onslaught', 'carpentry', 'provides', 'work', 'area', 'exhibition', 'area', 'conception', 'autonomous', 'research', 'project', 'lieuInstallée', 'walls', 'old', 'carpentry', 'heart', 'Saint', 'Etienne', 'Assault', 'moving', 'space', 'distinct', 'areas', 'exhibition', 'space', 'sqm', 'courtyard', 'workshop']"
8,91,KINGS Artist Run,"
Kings Artist Run is a non-for-profit gallery in Melbourne’s CBD


Kings Artist Run provides a location for contemporary art practice, supporting distinctive experimental projects by artists at all stages of their careers. Kings ARI assists and promotes the development of solo exhibitions, group and thematic projects, along with a program of events that includes performance, film screenings, public gatherings and talks.

Functioning as a collective of artists, writers, curators and academics, Kings Artist Run was formed to explore, interpret and participate in the mediation of new social and cultural meanings. In 2013 Kings Artist Run celebrated its 10th anniversary.

",,"['Kings', 'Artist', 'Run', 'non', 'profit', 'gallery', 'Melbourne', 'CBD', 'n', 'n', 'Kings', 'Artist', 'Run', 'xa', 'provides', 'location', 'contemporary', 'art', 'practice', 'supporting', 'distinctive', 'experimental', 'xa', 'projects', 'artists', 'stages', 'careers', 'xa', 'Kings', 'ARI', 'xa', 'assists', 'promotes', 'development', 'solo', 'exhibitions', 'group', 'thematic', 'projects', 'program', 'events', 'includes', 'performance', 'film', 'screenings', 'public', 'gatherings', 'talks', 'n', 'Functioning', 'collective', 'artists', 'writers', 'curators', 'academics', 'xa', 'Kings', 'Artist', 'Run', 'xa', 'formed', 'explore', 'interpret', 'participate', 'mediation', 'new', 'social', 'cultural', 'meanings', 'Kings', 'Artist', 'Run', 'xa', 'celebrated', 'th', 'xa', 'anniversary', 'n']"
9,170,Quellkollektiv,"L'association Quellkollektiv émerge de l'association de plusieurs résidents dans un bâtiment liant collectivement les opérateurs culturels à travers la région métropolitaine de Nuremberg. 
L'association exploite la galerie ""Heute:_"" et soutient le « Nous achetons la source"". 
Nos membres sont créatifs et performants artistes, designers, artisans, architectes, musiciens, activistes, auteurs, organisateurs, éditeurs et autres qui créent la culture professionnellement ou dans leur temps libre. ","The combination Quellkollektiv emerges from the combination of several residents in a building linking collectively cultural operators throughout the metropolitan region of Nuremberg.
The association operates the gallery ""Heute: _"" and supports the ""We buy the source.""
Our members are creative and performing artists, designers, craftsmen, architects, musicians, activists, writers, organizers, publishers and others who create culture professionally or in their spare time.","['combination', 'Quellkollektiv', 'emerges', 'combination', 'residents', 'building', 'linking', 'collectively', 'cultural', 'operators', 'metropolitan', 'region', 'Nuremberg', 'association', 'operates', 'gallery', 'Heute', 'supports', 'buy', 'source', 'members', 'creative', 'performing', 'artists', 'designers', 'craftsmen', 'architects', 'musicians', 'activists', 'writers', 'organizers', 'publishers', 'create', 'culture', 'professionally', 'spare', 'time']"
