id,nom,website,user_id,siteweb_V2,siteweb_V3
1,Glassbox,www.glassbox.fr,1,https://www.glassbox.fr,https://www.glassbox.fr
3,STANDARDS,www.standards-expositions.com,1,,rien
4,0gms,www.0gms.com,1,https://www.0gms.com,https://www.0gms.com
5,Immanence,www.art-immanence.org/,1,https://www.art-immanence.org/,https://www.art-immanence.org/
6,Le Commissariat,www.lecommissariat.fr/,1,https://www.lecommissariat.fr/,https://www.lecommissariat.fr/
7,Treize,www.treize.site,1,https://www.treize.site,https://www.treize.site
8,Jeune création,https://www.jeunecreation.org,1,https://www.jeunecreation.org,https://www.jeunecreation.org
9,PLATEFORME,https://www.plateforme-paris.com,1,https://www.plateforme-paris.com,https://www.plateforme-paris.com
10,Interface appartement /galerie,www.interface-art.com,1,https://www.interface-art.com,https://www.interface-art.com
11,CP5/Collectif Curry Vavart,www.curry-vavart.com/cp5,1,https://www.curry-vavart.com/cp5,https://www.curry-vavart.com/cp5
12,le collectif  d'en face,www.collectifdenface.blogspot.fr,1,https://www.collectifdenface.blogspot.fr,https://www.collectifdenface.blogspot.fr
13,identité remarquable,identiteremarquable.over-blog.org/,1,https://identiteremarquable.over-blog.org/,https://identiteremarquable.over-blog.org/
14,La générale en manufacture ,www.atelierpier.com/atelier_pier/intro.html,1,https://www.atelierpier.com/atelier_pier/intro.html,https://www.atelierpier.com/atelier_pier/intro.html
15,In extenso ,www.inextensoasso.com,1,https://www.inextensoasso.com,https://www.inextensoasso.com
16,Aperto ,aperto.free.fr/,,https://aperto.free.fr/,https://aperto.free.fr/
17,Zebra3/Buy-sellf,www.buy-sellf.com,1,https://www.buy-sellf.com,https://www.buy-sellf.com
18,OCTAVE COWBELL,www.octavecowbell.fr/main.php,1,https://www.octavecowbell.fr/main.php,https://www.octavecowbell.fr/main.php
19,Galerie RDV ,galerierdv.com/,1,https://galerierdv.com/,https://galerierdv.com/
20,Le Pays où le ciel est toujours bleu ,www.poctb.fr/,1,https://www.poctb.fr/,https://www.poctb.fr/
21,Syndicat Potentiel Strasbourg (Le Faubourg),syndicatpotentiel.free.fr,1,https://syndicatpotentiel.free.fr,https://syndicatpotentiel.free.fr
22,La Station,www.lastation.org,1,https://www.lastation.org,https://www.lastation.org
23,L'inlassable galerie,linlassablegalerie.com/,1,https://linlassablegalerie.com/,https://linlassablegalerie.com/
24,Khiasma,www.khiasma.net/,1,https://www.khiasma.net/,https://www.khiasma.net/
25,Le générateur,legenerateur.com/,1,https://legenerateur.com/,https://legenerateur.com/
26,Salaisons,www.salaisons.org/,1,https://www.salaisons.org/,https://www.salaisons.org/
27,Néon ,www.chezneon.fr/,1,https://www.chezneon.fr/,https://www.chezneon.fr/
28,Angle art contemporain,www.angle-art.fr/,,https://www.angle-art.fr/,https://www.angle-art.fr/
29,INTERIOR and the collectors,interiorandthecollectors.com/,1,https://interiorandthecollectors.com/,https://interiorandthecollectors.com/
30,videochronique,www.videochroniques.org/,1,https://www.videochroniques.org/,https://www.videochroniques.org/
31,PRÉFACE,"https://sortir.telerama.fr/paris/lieux/galeries-dart/preface-gallery,21347.php",1,"https://sortir.telerama.fr/paris/lieux/galeries-dart/preface-gallery,21347.php","https://sortir.telerama.fr/paris/lieux/galeries-dart/preface-gallery,21347.php"
32,Station Mir,www.station-mir.com/,1,https://www.station-mir.com/,https://www.station-mir.com/
33,castillo/corrales,castillocorrales.fr/,1,https://castillocorrales.fr/,https://castillocorrales.fr/
34,attrape-couleurs,www.attrape-couleurs.com/,1,https://www.attrape-couleurs.com/,https://www.attrape-couleurs.com/
35,TRIPODE,tripode.fr,1,https://tripode.fr,https://tripode.fr
36,La salle de bain,www.lasalledebains.net/,1,https://www.lasalledebains.net/,https://www.lasalledebains.net/
37,Triangle,www.trianglefrance.org/,1,https://www.trianglefrance.org/,https://www.trianglefrance.org/
38,Zoo Galerie,www.zoogalerie.fr,1,https://www.zoogalerie.fr,https://www.zoogalerie.fr
39,H+,h-pl.us/,1,https://h-pl.us/,https://h-pl.us/
40,Rogertator,www.rogertator.com/,1,https://www.rogertator.com/,https://www.rogertator.com/
41,Espace 29,www.espace29.com/,,https://www.espace29.com/,https://www.espace29.com/
42,22 rue muller,22ruemuller.com/,,https://22ruemuller.com/,https://22ruemuller.com/
