x,y,value
arts,arts,16
berlin,arts,3
bill,arts,1
biographie,arts,1
brussels,arts,3
canada,arts,6
centre,arts,4
cette,arts,1
dans,arts,1
elle,arts,1
galerie,arts,2
gallery,arts,5
london,arts,4
lyon,arts,1
marseille,arts,2
paris,arts,5
pour,arts,1
salle,arts,2
saturday,arts,3
york,arts,1
berlin,berlin,7
bill,berlin,1
biographie,berlin,1
brussels,berlin,1
canada,berlin,2
centre,berlin,2
cette,berlin,1
dans,berlin,1
elle,berlin,1
galerie,berlin,2
gallery,berlin,3
london,berlin,1
lyon,berlin,1
marseille,berlin,1
paris,berlin,1
pour,berlin,1
salle,berlin,1
saturday,berlin,4
york,berlin,1
bill,bill,2
biographie,bill,1
brussels,bill,1
canada,bill,0
centre,bill,2
cette,bill,1
dans,bill,1
elle,bill,1
galerie,bill,1
gallery,bill,1
london,bill,1
lyon,bill,1
marseille,bill,2
paris,bill,2
pour,bill,1
salle,bill,1
saturday,bill,1
york,bill,1
biographie,biographie,1
brussels,biographie,1
canada,biographie,0
centre,biographie,1
cette,biographie,1
dans,biographie,1
elle,biographie,1
galerie,biographie,1
gallery,biographie,1
london,biographie,1
lyon,biographie,1
marseille,biographie,1
paris,biographie,1
pour,biographie,1
salle,biographie,1
saturday,biographie,1
york,biographie,1
brussels,brussels,6
canada,brussels,0
centre,brussels,2
cette,brussels,2
dans,brussels,2
elle,brussels,2
galerie,brussels,3
gallery,brussels,2
london,brussels,2
lyon,brussels,1
marseille,brussels,1
paris,brussels,3
pour,brussels,2
salle,brussels,1
saturday,brussels,2
york,brussels,1
canada,canada,11
centre,canada,5
cette,canada,0
dans,canada,0
elle,canada,0
galerie,canada,2
gallery,canada,2
london,canada,1
lyon,canada,0
marseille,canada,0
paris,canada,1
pour,canada,0
salle,canada,0
saturday,canada,3
york,canada,0
centre,centre,10
cette,centre,2
dans,centre,1
elle,centre,1
galerie,centre,4
gallery,centre,2
london,centre,1
lyon,centre,1
marseille,centre,2
paris,centre,5
pour,centre,2
salle,centre,1
saturday,centre,2
york,centre,1
cette,cette,3
dans,cette,2
elle,cette,2
galerie,cette,3
gallery,cette,1
london,cette,2
lyon,cette,1
marseille,cette,1
paris,cette,3
pour,cette,3
salle,cette,1
saturday,cette,1
york,cette,1
dans,dans,2
elle,dans,2
galerie,dans,2
gallery,dans,1
london,dans,2
lyon,dans,1
marseille,dans,1
paris,dans,2
pour,dans,2
salle,dans,1
saturday,dans,1
york,dans,1
elle,elle,2
galerie,elle,2
gallery,elle,1
london,elle,2
lyon,elle,1
marseille,elle,1
paris,elle,2
pour,elle,2
salle,elle,1
saturday,elle,1
york,elle,1
galerie,galerie,12
gallery,galerie,3
london,galerie,2
lyon,galerie,1
marseille,galerie,1
paris,galerie,4
pour,galerie,3
salle,galerie,1
saturday,galerie,1
york,galerie,1
gallery,gallery,11
london,gallery,2
lyon,gallery,1
marseille,gallery,1
paris,gallery,3
pour,gallery,1
salle,gallery,1
saturday,gallery,5
york,gallery,1
london,london,7
lyon,london,1
marseille,london,1
paris,london,4
pour,london,2
salle,london,1
saturday,london,3
york,london,1
lyon,lyon,1
marseille,lyon,1
paris,lyon,1
pour,lyon,1
salle,lyon,1
saturday,lyon,1
york,lyon,1
marseille,marseille,4
paris,marseille,3
pour,marseille,1
salle,marseille,2
saturday,marseille,1
york,marseille,1
paris,paris,14
pour,paris,3
salle,paris,2
saturday,paris,3
york,paris,2
pour,pour,3
salle,pour,1
saturday,pour,1
york,pour,1
salle,salle,4
saturday,salle,1
york,salle,1
saturday,saturday,12
york,saturday,1
york,york,3
